N° de ligne;CodeHier;CodeActe;Libellé;GestesComplémentaires;Modulateur;TypeLigne;Consigne de codage pour le PMSI;Action année N S: suppression/A : Ajout/M: Modification;Caractéristique modification à publier;Séance;Dédié;Non dédié;Collectif;Pluriprofessionnel;Appareillage avec étapes;Début de validité;Fin de validité;Pondération acte isolé - 2012-2018;Pondération étape A 2012-2018;Pondération étape B 2012-2018;Pondération étape C 2012-2018;Pondération + modulateur HW 2012-2018;Pondération + modulateur LJ 2012-2018;Pondération + modulateur QM2012-2018;Pondération + modulateur XH 2012-2018
60;00.02.02;;pose de bas de contention;;;NT;;;;;;;;;;;;;;;;;;;
61;01;;FONCTIONS CÉRÉBRALES;;;T;;;;;;;;;;;;;;;;;;;
62;01;;Par fonction cognitive, on entend : fonction intellectuelle soustendue par les structures corticales :;;;NT;;;;;;;;;;;;;;;;;;;
63;01;;fonction de la mémoire, de la pensée, de l'intégration de la perception et de l'émotion [cognition sociale], de la représentation du temps et de l'espace;;;NT;;;;;;;;;;;;;;;;;;;
64;01;;fonctions exécutives;;;NT;;;;;;;;;;;;;;;;;;;
65;01;;fonctions instrumentales : langage, calcul, praxies et gnosies;;;NT;;;;;;;;;;;;;;;;;;;
66;01;;Par fonctions exécutives on entend : fonctions cognitives élaborées intervenant dans les comportements orientés vers un but et des activités non routinières, impliquées dans les processus tels que : l'attention, l'initiation, la planification, la réalisation et le contrôle des activités motrices et cognitives requérant un niveau d'intégration élevé, le raisonnement, la pensée abstraite;;;NT;;;;;;;;;;;;;;;;;;;
67;01;;;;;LV;;;;;;;;;;;;;;;;;;;
68;01;;;;;LV;;;;;;;;;;;;;;;;;;;
69;01.01;;Actes d'évaluation à visée de diagnostic et de synthèse des fonctions cérébrales;;;T;;;;;;;;;;;;;;;;;;;
70;01.01;;;;;LV;;;;;;;;;;;;;;;;;;;
71;01.01;;;;;LV;;;;;;;;;;;;;;;;;;;
72;01.01.01;;Actes d'évaluation à visée de diagnostic et de synthèse des fonctions cognitives et des fonctions exécutives;;;T;;;;;;;;;;;;;;;;;;;
73;01.01.01;;À l'exclusion de :;;;NT;;;;;;;;;;;;;;;;;;;
74;01.01.01;;évaluation des capacités cognitives pour la conduite d'un véhicule automobile (ALQ+105);;;NT;;;;;;;;;;;;;;;;;;;
75;01.01.01;;;;;LV;;;;;;;;;;;;;;;;;;;
76;01.01.01;ALQ+183;Évaluation analytique initiale de fonction cognitive;;ZV;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;55;;;;;;;
77;01.01.01;ALQ+183;À l'exclusion de :;;;N;;;;;;;;;;;;;;;;;;;
78;01.01.01;ALQ+183;évaluation psychologique d'une fonction cognitive (ALQ+111);;;N;;;;;;;;;;;;;;;;;;;
79;01.01.01;ALQ+183;évaluation psychologique de plusieurs fonctions cognitives (ALQ+176);;;N;;;;;;;;;;;;;;;;;;;
80;01.01.01;ALQ+183;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
81;01.01.01;ALQ+183;évaluation et cotation de fonction cognitive et exécutive par épreuves standardisées reproductibles et validées;;;N;;;;;;;;;;;;;;;;;;;
82;01.01.01;ALQ+183;identification des stratégies naturelles d'apprentissage et de compensation;;;N;;;;;;;;;;;;;;;;;;;
83;01.01.01;ALQ+065;Évaluation analytique intermédiaire ou ciblée de fonction cognitive;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;38;;;;;;;
84;01.01.01;ALQ+065;À l'exclusion de :;;;N;;;;;;;;;;;;;;;;;;;
85;01.01.01;ALQ+065;évaluation psychologique d'une fonction cognitive (ALQ+111);;;N;;;;;;;;;;;;;;;;;;;
86;01.01.01;ALQ+065;évaluation psychologique de plusieurs fonctions cognitives (ALQ+176);;;N;;;;;;;;;;;;;;;;;;;
87;01.01.01;ALQ+065;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
88;01.01.01;ALQ+065;évaluation analytique focalisée de fonction cognitive et exécutive permettant d'apprécier l'évolution de la rééducation et d'ajuster les modalités de prise en charge;;;N;;;;;;;;;;;;;;;;;;;
89;01.01.01;ALQ+110;Évaluation analytique finale de fonction cognitive;;HW;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;61;;;;81;;;
90;01.01.01;ALQ+110;À l'exclusion de :;;;N;;;;;;;;;;;;;;;;;;;
91;01.01.01;ALQ+110;évaluation psychologique d'une fonction cognitive (ALQ+111);;;N;;;;;;;;;;;;;;;;;;;
92;01.01.01;ALQ+110;évaluation psychologique de plusieurs fonctions cognitives (ALQ+176);;;N;;;;;;;;;;;;;;;;;;;
93;01.01.01;ALQ+110;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
94;01.01.01;ALQ+110;évaluation analytique de fonction cognitive et exécutive à la fin de la prise en charge ou à la sortie, pour orientation;;;N;;;;;;;;;;;;;;;;;;;
95;01.01.01;ALQ+247;Évaluation globale initiale de plusieurs fonctions cognitives;;ZV;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;55;;;;;;;
96;01.01.01;ALQ+247;À l'exclusion de :;;;N;;;;;;;;;;;;;;;;;;;
97;01.01.01;ALQ+247;évaluation psychologique de plusieurs fonctions cognitives (ALQ+176);;;N;;;;;;;;;;;;;;;;;;;
98;01.01.01;ALQ+247;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
99;01.01.01;ALQ+247;évaluation globale de plusieurs fonctions cognitives par l'observation de la réalisation d'activités telles que : se raser, préparer le petit déjeuner, faire ses courses;;;N;;;;;;;;;;;;;;;;;;;
100;01.01.01;ALQ+247;identification des stratégies naturelles d'apprentissage et de compensation;;;N;;;;;;;;;;;;;;;;;;;
101;01.01.01;ALQ+247;test des errances multiples;;;N;;;;;;;;;;;;;;;;;;;
102;01.01.01;ALQ+137;Évaluation globale intermédiaire de plusieurs fonctions cognitives;;HW;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;38;;;;58;;;
103;01.01.01;ALQ+137;À l'exclusion de :;;;N;;;;;;;;;;;;;;;;;;;
104;01.01.01;ALQ+137;évaluation psychologique de plusieurs fonctions cognitives (ALQ+176);;;N;;;;;;;;;;;;;;;;;;;
105;01.01.01;ALQ+137;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
106;01.01.01;ALQ+137;évaluation globale focalisée de plusieurs fonctions cognitives permettant d'apprécier l'évolution de la rééducation et d'ajuster les modalités de prise en charge;;;N;;;;;;;;;;;;;;;;;;;
107;01.01.01;ALQ+250;Évaluation globale finale de plusieurs fonctions cognitives;;HW;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;61;;;;81;;;
108;01.01.01;ALQ+250;À l'exclusion de :;;;N;;;;;;;;;;;;;;;;;;;
109;01.01.01;ALQ+250;évaluation psychologique de plusieurs fonctions cognitives (ALQ+176);;;N;;;;;;;;;;;;;;;;;;;
110;01.01.01;ALQ+250;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
111;01.01.01;ALQ+250;évaluation globale de fonction cognitive à la fin de la prise en charge ou à la sortie, pour orientation;;;N;;;;;;;;;;;;;;;;;;;
112;01.01.01;ALQ+111;Évaluation psychologique d'1 fonction cognitive;;ZV;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;66;;;;;;;
113;01.01.01;ALQ+111;À l'exclusion de :;;;N;;;;;;;;;;;;;;;;;;;
114;01.01.01;ALQ+111;évaluation psychologique de fonction cognitive avec mise en situation (ALQ+001);;;N;;;;;;;;;;;;;;;;;;;
115;01.01.01;ALQ+111;évaluation psychologique de fonction cognitive avec simulateur (ALQ+285);;;N;;;;;;;;;;;;;;;;;;;
116;01.01.01;ALQ+111;évaluation psychologique de la personnalité (ALQ+011);;;N;;;;;;;;;;;;;;;;;;;
117;01.01.01;ALQ+111;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
118;01.01.01;ALQ+111;entretien psychologique inaugural à visée d'information, de recueil du consentement du patient, d'analyse de la plainte du patient et/ou de son entourage et des contextes psychologique, psychoaffectif et psychosocial;;;N;;;;;;;;;;;;;;;;;;;
119;01.01.01;ALQ+111;passation de tests neuropsychologiques et/ou psychométriques informatisés ou non tels que : test de barrages, rappel indicé 48 [RI48], California verbal learning test [CVLT], échelle de mémoire de Wechsler, échelle de vocabulaire de Mill Hill, matrices progressives de Raven, test des cubes de Kohs, batterie du groupe de réflexion sur l'évaluation des fonctions exécutives;;;N;;;;;;;;;;;;;;;;;;;
120;01.01.01;ALQ+111;cotation et interprétation des tests;;;N;;;;;;;;;;;;;;;;;;;
121;01.01.01;ALQ+111;orientation et modalités de prise en charge;;;N;;;;;;;;;;;;;;;;;;;
122;01.01.01;ALQ+176;Évaluation psychologique de plusieurs fonctions cognitives;;ZV;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;99;;;;;;;
123;01.01.01;ALQ+176;À l'exclusion de :;;;N;;;;;;;;;;;;;;;;;;;
124;01.01.01;ALQ+176;évaluation psychologique de fonction cognitive avec mise en situation (ALQ+001);;;N;;;;;;;;;;;;;;;;;;;
125;01.01.01;ALQ+176;évaluation psychologique de fonction cognitive avec simulateur (ALQ+285);;;N;;;;;;;;;;;;;;;;;;;
126;01.01.01;ALQ+176;évaluation psychologique de la personnalité (ALQ+011);;;N;;;;;;;;;;;;;;;;;;;
127;01.01.01;ALQ+176;utilisation d'outils de dépistage tels que : test mini mental score [MMS], test de l'horloge, test des 5 mots de Dubois;;;N;;;;;;;;;;;;;;;;;;;
128;01.01.01;ALQ+176;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
129;01.01.01;ALQ+176;entretien psychologique à visée d'information, de recueil du consentement du patient, d'analyse de la plainte du patient et/ou de son entourage et des contextes psychologique, psychoaffectif et psychosocial;;;N;;;;;;;;;;;;;;;;;;;
130;01.01.01;ALQ+176;passation de tests neuropsychologiques et/ou psychométriques informatisés ou non tels que : test de barrage, rappel indicé 48 [RI48], California verbal learning test [CVLT], échelle de mémoire de Wechsler, échelle de vocabulaire de Mill Hill, matrices progressives de Raven, test des cubes de Kohs, batterie du groupe de réflexion sur l'évaluation des fonctions exécutives;;;N;;;;;;;;;;;;;;;;;;;
131;01.01.01;ALQ+176;cotation et interprétation des tests;;;N;;;;;;;;;;;;;;;;;;;
132;01.01.01;ALQ+176;orientation et modalités de prise en charge;;;N;;;;;;;;;;;;;;;;;;;
133;01.01.01;ALQ+001;Évaluation psychologique de fonction cognitive avec mise en situation;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;99;;;;;;;
134;01.01.01;ALQ+001;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
135;01.01.01;ALQ+001;entretien psychologique à visée d'information, de recueil du consentement du patient, d'analyse de la plainte du patient et/ou de son entourage et des contextes psychologique, psychoaffectif et psychosocial;;;N;;;;;;;;;;;;;;;;;;;
136;01.01.01;ALQ+001;passation de test neuropsychologiques et/ou psychométriques informatisés ou non tels que : échelle de comportement, test de conduite automobile, test du jeu;;;N;;;;;;;;;;;;;;;;;;;
137;01.01.01;ALQ+001;évaluation fonctionnelle avec mise en situation;;;N;;;;;;;;;;;;;;;;;;;
138;01.01.01;ALQ+001;cotation et interprétation des tests;;;N;;;;;;;;;;;;;;;;;;;
139;01.01.01;ALQ+001;orientation et modalité de prise en charge;;;N;;;;;;;;;;;;;;;;;;;
140;01.01.01;ALQ+285;Évaluation psychologique de fonction cognitive avec simulateur;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;99;;;;;;;
141;01.01.01;ALQ+285;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
142;01.01.01;ALQ+285;entretien psychologique inaugural à visée d'information, de recueil du consentement du patient, d'analyse de la plainte du patient et/ou de son entourage et des contextes psychologique, psychoaffectif et psychosocial;;;N;;;;;;;;;;;;;;;;;;;
143;01.01.01;ALQ+285;passation de tests neuropsychologiques et/ou psychométriques informatisés ou non;;;N;;;;;;;;;;;;;;;;;;;
144;01.01.01;ALQ+285;évaluation sur simulateur tel que : simulateur de conduite automobile, procédure vidéo de mémoire prospective [PRVP];;;N;;;;;;;;;;;;;;;;;;;
145;01.01.01;ALQ+285;cotation et interprétation des tests;;;N;;;;;;;;;;;;;;;;;;;
146;01.01.01;ALQ+285;orientation et modalité de prise en charge;;;N;;;;;;;;;;;;;;;;;;;
147;01.01.01;;;;;LV;;;;;;;;;;;;;;;;;;;
148;01.01.02;;Actes d'évaluation à visée de diagnostic et de synthèse des fonctions psychomotrices;;;T;;;;;;;;;;;;;;;;;;;
149;01.01.02;;;;;LV;;;;;;;;;;;;;;;;;;;
150;01.01.02;ANQ+067;Évaluation initiale des fonctions psychomotrices;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;60;;;;;;;
151;01.01.02;ANQ+067;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
152;01.01.02;ANQ+067;appréciation de l'ensemble des fonctions psychomotrices :;;;N;;;;;;;;;;;;;;;;;;;
153;01.01.02;ANQ+067;développement psychomoteur;;;N2;;;;;;;;;;;;;;;;;;;
154;01.01.02;ANQ+067;maturation et régulation tonique;;;N2;;;;;;;;;;;;;;;;;;;
155;01.01.02;ANQ+067;sensorialité et perception;;;N2;;;;;;;;;;;;;;;;;;;
156;01.01.02;ANQ+067;communication non-verbale dont les manifestations tonico-émotionnelles;;;N2;;;;;;;;;;;;;;;;;;;
157;01.01.02;ANQ+067;schéma corporel;;;N2;;;;;;;;;;;;;;;;;;;
158;01.01.02;ANQ+067;coordination motrice;;;N2;;;;;;;;;;;;;;;;;;;
159;01.01.02;ANQ+067;praxies;;;N2;;;;;;;;;;;;;;;;;;;
160;01.01.02;ANQ+067;latéralité;;;N2;;;;;;;;;;;;;;;;;;;
161;01.01.02;ANQ+067;organisation spatio-temporelle;;;N2;;;;;;;;;;;;;;;;;;;
162;01.01.02;ANQ+067;capacités attentionnelles;;;N2;;;;;;;;;;;;;;;;;;;
163;01.01.02;ANQ+067;capacités et adaptations relationnelles;;;N2;;;;;;;;;;;;;;;;;;;
164;01.01.02;ANQ+067;représentation affective du corps;;;N2;;;;;;;;;;;;;;;;;;;
165;01.01.02;ANQ+067;graphomotricité;;;N2;;;;;;;;;;;;;;;;;;;
166;01.01.02;ANQ+067;capacités de relâchement musculaire;;;N2;;;;;;;;;;;;;;;;;;;
167;01.01.02;ANQ+067;coordination perceptivomotrice;;;N2;;;;;;;;;;;;;;;;;;;
168;01.01.02;ANQ+067;mémoire;;;N2;;;;;;;;;;;;;;;;;;;
169;01.01.02;ANQ+067;organisation rythmique;;;N2;;;;;;;;;;;;;;;;;;;
170;01.01.02;ANQ+067;régulation tonique;;;N2;;;;;;;;;;;;;;;;;;;
171;01.01.02;ANQ+067;équilibre et contrôle postural;;;N2;;;;;;;;;;;;;;;;;;;
172;01.01.02;ANQ+067;douleur;;;N2;;;;;;;;;;;;;;;;;;;
173;01.01.02;ANQ+067;passation de tests standardisés, étalonnés;;;N;;;;;;;;;;;;;;;;;;;
174;01.01.02;ANQ+067;passation d'épreuves non étalonnées,;;;N;;;;;;;;;;;;;;;;;;;
175;01.01.02;ANQ+067;observation transversale en situation d'activité;;;N;;;;;;;;;;;;;;;;;;;
176;01.01.02;ANQ+105;Évaluation intermédiaire des fonctions psychomotrices;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;41;;;;;;;
177;01.01.02;ANQ+105;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
178;01.01.02;ANQ+105;évaluation focalisée sur quelques fonctions psychomotrices permettant d'apprécier l'évolution de la rééducation et d'ajuster les modalités de prise en charge;;;N;;;;;;;;;;;;;;;;;;;
179;01.01.02;ANQ+095;Évaluation finale des fonctions psychomotrices;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;64;;;;;;;
180;01.01.02;ANQ+095;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
181;01.01.02;ANQ+095;évaluation focalisée sur quelques fonctions psychomotrices à la fin de la prise en charge ou à la sortie, pour orientation;;;N;;;;;;;;;;;;;;;;;;;
182;01.01.02;;;;;LV;;;;;;;;;;;;;;;;;;;
183;01.01.03;;Actes d'évaluation à visée de diagnostic et de synthèse des fonctions du langage et du calcul;;;T;;;;;;;;;;;;;;;;;;;
184;01.01.03;;Avec ou sans : utilisation des appareils auditifs, prothèses phonatoires ou autres dispositifs techniques pour la communication;;;NT;;;;;;;;;;;;;;;;;;;
185;01.01.03;;;;;LV;;;;;;;;;;;;;;;;;;;
186;01.01.03;GKQ+190;Évaluation initiale du langage oral;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;55;;;;;;;
187;01.01.03;GKQ+190;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
188;01.01.03;GKQ+190;examen de la cavité buccale et de l'hygiène buccodentaire;;;N;;;;;;;;;;;;;;;;;;;
189;01.01.03;GKQ+190;examen de la déglutition et des praxies buccofaciales;;;N;;;;;;;;;;;;;;;;;;;
190;01.01.03;GKQ+190;examen du souffle et de la voix;;;N;;;;;;;;;;;;;;;;;;;
191;01.01.03;GKQ+190;examen de l'articulation et de la parole;;;N;;;;;;;;;;;;;;;;;;;
192;01.01.03;GKQ+190;examen du comportement de communication non verbale;;;N;;;;;;;;;;;;;;;;;;;
193;01.01.03;GKQ+190;examen du langage dans ses versants réceptif et expressif et dans ses différentes dimensions : phonologique, lexicale, sémantique, syntaxique et pragmatique;;;N;;;;;;;;;;;;;;;;;;;
194;01.01.03;GKQ+190;analyse critique des interactions verbales et non verbales entre le patient et son entourage et proposition d'adaptation si nécessaire;;;N;;;;;;;;;;;;;;;;;;;
195;01.01.03;GKQ+190;Avec ou sans : enregistrement du son et/ou de l'image;;;N;;;;;;;;;;;;;;;;;;;
196;01.01.03;GKQ+162;Évaluation intermédiaire du langage oral;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;38;;;;;;;
197;01.01.03;GKQ+162;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
198;01.01.03;GKQ+162;évaluation focalisée permettant d'apprécier l'évolution de la rééducation des troubles du langage oral et d'ajuster le programme de rééducation;;;N;;;;;;;;;;;;;;;;;;;
199;01.01.03;GKQ+162;Avec ou sans : enregistrement du son et/ou de l'image;;;N;;;;;;;;;;;;;;;;;;;
200;01.01.03;GKQ+053;Évaluation finale du langage oral;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;61;;;;;;;
201;01.01.03;GKQ+053;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
202;01.01.03;GKQ+053;évaluation des troubles du langage oral à la fin de la prise en charge ou à la sortie, pour orientation;;;N;;;;;;;;;;;;;;;;;;;
203;01.01.03;GKQ+053;Avec ou sans : enregistrement du son et/ou de l'image;;;N;;;;;;;;;;;;;;;;;;;
204;01.01.03;GKQ+139;Évaluation initiale du langage écrit;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;55;;;;;;;
205;01.01.03;GKQ+139;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
206;01.01.03;GKQ+139;examen de l'articulation et de la parole;;;N;;;;;;;;;;;;;;;;;;;
207;01.01.03;GKQ+139;examen de la motricité de la main;;;N;;;;;;;;;;;;;;;;;;;
208;01.01.03;GKQ+139;examen de la motricité oculaire;;;N;;;;;;;;;;;;;;;;;;;
209;01.01.03;GKQ+139;examen du langage écrit;;;N;;;;;;;;;;;;;;;;;;;
210;01.01.03;GKQ+139;analyse critique des interactions verbale et non verbale entre le patient et son entourage et proposition d'adaptation si nécessaire;;;N;;;;;;;;;;;;;;;;;;;
